A	Output	bin a	bin out	octal a	octal out
0	3	0b0	0b11	0o0	0o3
1	2	0b1	0b10	0o1	0o2
2	1	0b10	0b1	0o2	0o1
3	0	0b11	0b0	0o3	0o0
4	5	0b100	0b101	0o4	0o5
5	3	0b101	0b11	0o5	0o3
6	5	0b110	0b101	0o6	0o5
7	5	0b111	0b101	0o7	0o5
8	32	0b1000	0b100000	0o10	0o40
9	22	0b1001	0b10110	0o11	0o26
10	12	0b1010	0b1100	0o12	0o14
11	2	0b1011	0b10	0o13	0o2
12	12	0b1100	0b1100	0o14	0o14
13	32	0b1101	0b100000	0o15	0o40
14	42	0b1110	0b101010	0o16	0o52
15	72	0b1111	0b1001000	0o17	0o110
16	31	0b10000	0b11111	0o20	0o37
17	31	0b10001	0b11111	0o21	0o37
18	11	0b10010	0b1011	0o22	0o13
19	1	0b10011	0b1	0o23	0o1
20	51	0b10100	0b110011	0o24	0o63
21	31	0b10101	0b11111	0o25	0o37
22	71	0b10110	0b1000111	0o26	0o107
23	11	0b10111	0b1011	0o27	0o13
24	30	0b11000	0b11110	0o30	0o36
25	30	0b11001	0b11110	0o31	0o36
26	10	0b11010	0b1010	0o32	0o12
27	0	0b11011	0b0	0o33	0o0
28	10	0b11100	0b1010	0o34	0o12
29	30	0b11101	0b11110	0o35	0o36
30	60	0b11110	0b111100	0o36	0o74
31	30	0b11111	0b11110	0o37	0o36
32	25	0b100000	0b11001	0o40	0o31
33	5	0b100001	0b101	0o41	0o5
34	15	0b100010	0b1111	0o42	0o17
35	5	0b100011	0b101	0o43	0o5
36	55	0b100100	0b110111	0o44	0o67
37	35	0b100101	0b100011	0o45	0o43
38	15	0b100110	0b1111	0o46	0o17
39	55	0b100111	0b110111	0o47	0o67
40	23	0b101000	0b10111	0o50	0o27
41	3	0b101001	0b11	0o51	0o3
42	13	0b101010	0b1101	0o52	0o15
43	3	0b101011	0b11	0o53	0o3
44	13	0b101100	0b1101	0o54	0o15
45	33	0b101101	0b100001	0o55	0o41
46	3	0b101110	0b11	0o56	0o3
47	73	0b101111	0b1001001	0o57	0o111
48	25	0b110000	0b11001	0o60	0o31
49	15	0b110001	0b1111	0o61	0o17
50	15	0b110010	0b1111	0o62	0o17
51	5	0b110011	0b101	0o63	0o5
52	55	0b110100	0b110111	0o64	0o67
53	35	0b110101	0b100011	0o65	0o43
54	35	0b110110	0b100011	0o66	0o43
55	15	0b110111	0b1111	0o67	0o17
56	25	0b111000	0b11001	0o70	0o31
57	15	0b111001	0b1111	0o71	0o17
58	15	0b111010	0b1111	0o72	0o17
59	5	0b111011	0b101	0o73	0o5
60	15	0b111100	0b1111	0o74	0o17
61	35	0b111101	0b100011	0o75	0o43
62	25	0b111110	0b11001	0o76	0o31
63	35	0b111111	0b100011	0o77	0o43
64	132	0b1000000	0b10000100	0o100	0o204
65	632	0b1000001	0b1001111000	0o101	0o1170
66	132	0b1000010	0b10000100	0o102	0o204
67	132	0b1000011	0b10000100	0o103	0o204
68	532	0b1000100	0b1000010100	0o104	0o1024
69	332	0b1000101	0b101001100	0o105	0o514
70	532	0b1000110	0b1000010100	0o106	0o1024
71	532	0b1000111	0b1000010100	0o107	0o1024
72	122	0b1001000	0b1111010	0o110	0o172
73	622	0b1001001	0b1001101110	0o111	0o1156
74	122	0b1001010	0b1111010	0o112	0o172
75	122	0b1001011	0b1111010	0o113	0o172
76	122	0b1001100	0b1111010	0o114	0o172
77	322	0b1001101	0b101000010	0o115	0o502
78	422	0b1001110	0b110100110	0o116	0o646
79	722	0b1001111	0b1011010010	0o117	0o1322
80	112	0b1010000	0b1110000	0o120	0o160
81	712	0b1010001	0b1011001000	0o121	0o1310
82	112	0b1010010	0b1110000	0o122	0o160
83	112	0b1010011	0b1110000	0o123	0o160
84	512	0b1010100	0b1000000000	0o124	0o1000
85	312	0b1010101	0b100111000	0o125	0o470
86	712	0b1010110	0b1011001000	0o126	0o1310
87	112	0b1010111	0b1110000	0o127	0o160
88	102	0b1011000	0b1100110	0o130	0o146
89	702	0b1011001	0b1010111110	0o131	0o1276
90	102	0b1011010	0b1100110	0o132	0o146
91	102	0b1011011	0b1100110	0o133	0o146
92	102	0b1011100	0b1100110	0o134	0o146
93	302	0b1011101	0b100101110	0o135	0o456
94	602	0b1011110	0b1001011010	0o136	0o1132
95	302	0b1011111	0b100101110	0o137	0o456
96	12	0b1100000	0b1100	0o140	0o14
97	412	0b1100001	0b110011100	0o141	0o634
98	112	0b1100010	0b1110000	0o142	0o160
99	112	0b1100011	0b1110000	0o143	0o160
100	512	0b1100100	0b1000000000	0o144	0o1000
101	312	0b1100101	0b100111000	0o145	0o470
102	112	0b1100110	0b1110000	0o146	0o160
103	512	0b1100111	0b1000000000	0o147	0o1000
104	32	0b1101000	0b100000	0o150	0o40
105	432	0b1101001	0b110110000	0o151	0o660
106	132	0b1101010	0b10000100	0o152	0o204
107	132	0b1101011	0b10000100	0o153	0o204
108	132	0b1101100	0b10000100	0o154	0o204
109	332	0b1101101	0b101001100	0o155	0o514
110	32	0b1101110	0b100000	0o156	0o40
111	732	0b1101111	0b1011011100	0o157	0o1334
112	42	0b1110000	0b101010	0o160	0o52
113	542	0b1110001	0b1000011110	0o161	0o1036
114	142	0b1110010	0b10001110	0o162	0o216
115	142	0b1110011	0b10001110	0o163	0o216
116	542	0b1110100	0b1000011110	0o164	0o1036
117	342	0b1110101	0b101010110	0o165	0o526
118	342	0b1110110	0b101010110	0o166	0o526
119	142	0b1110111	0b10001110	0o167	0o216
120	72	0b1111000	0b1001000	0o170	0o110
121	572	0b1111001	0b1000111100	0o171	0o1074
122	172	0b1111010	0b10101100	0o172	0o254
123	172	0b1111011	0b10101100	0o173	0o254
124	172	0b1111100	0b10101100	0o174	0o254
125	372	0b1111101	0b101110100	0o175	0o564
126	272	0b1111110	0b100010000	0o176	0o420
127	372	0b1111111	0b101110100	0o177	0o564
128	731	0b10000000	0b1011011011	0o200	0o1333
129	231	0b10000001	0b11100111	0o201	0o347
130	31	0b10000010	0b11111	0o202	0o37
131	231	0b10000011	0b11100111	0o203	0o347
132	531	0b10000100	0b1000010011	0o204	0o1023
133	331	0b10000101	0b101001011	0o205	0o513
134	531	0b10000110	0b1000010011	0o206	0o1023
135	531	0b10000111	0b1000010011	0o207	0o1023
136	731	0b10001000	0b1011011011	0o210	0o1333
137	231	0b10001001	0b11100111	0o211	0o347
138	31	0b10001010	0b11111	0o212	0o37
139	231	0b10001011	0b11100111	0o213	0o347
140	131	0b10001100	0b10000011	0o214	0o203
141	331	0b10001101	0b101001011	0o215	0o513
142	431	0b10001110	0b110101111	0o216	0o657
143	731	0b10001111	0b1011011011	0o217	0o1333
144	711	0b10010000	0b1011000111	0o220	0o1307
145	311	0b10010001	0b100110111	0o221	0o467
146	11	0b10010010	0b1011	0o222	0o13
147	211	0b10010011	0b11010011	0o223	0o323
148	511	0b10010100	0b111111111	0o224	0o777
149	311	0b10010101	0b100110111	0o225	0o467
150	711	0b10010110	0b1011000111	0o226	0o1307
151	111	0b10010111	0b1101111	0o227	0o157
152	701	0b10011000	0b1010111101	0o230	0o1275
153	301	0b10011001	0b100101101	0o231	0o455
154	1	0b10011010	0b1	0o232	0o1
155	201	0b10011011	0b11001001	0o233	0o311
156	101	0b10011100	0b1100101	0o234	0o145
157	301	0b10011101	0b100101101	0o235	0o455
158	601	0b10011110	0b1001011001	0o236	0o1131
159	301	0b10011111	0b100101101	0o237	0o455
160	651	0b10100000	0b1010001011	0o240	0o1213
161	51	0b10100001	0b110011	0o241	0o63
162	51	0b10100010	0b110011	0o242	0o63
163	251	0b10100011	0b11111011	0o243	0o373
164	551	0b10100100	0b1000100111	0o244	0o1047
165	351	0b10100101	0b101011111	0o245	0o537
166	151	0b10100110	0b10010111	0o246	0o227
167	551	0b10100111	0b1000100111	0o247	0o1047
168	631	0b10101000	0b1001110111	0o250	0o1167
169	31	0b10101001	0b11111	0o251	0o37
170	31	0b10101010	0b11111	0o252	0o37
171	231	0b10101011	0b11100111	0o253	0o347
172	131	0b10101100	0b10000011	0o254	0o203
173	331	0b10101101	0b101001011	0o255	0o513
174	31	0b10101110	0b11111	0o256	0o37
175	731	0b10101111	0b1011011011	0o257	0o1333
176	671	0b10110000	0b1010011111	0o260	0o1237
177	171	0b10110001	0b10101011	0o261	0o253
178	71	0b10110010	0b1000111	0o262	0o107
179	271	0b10110011	0b100001111	0o263	0o417
180	571	0b10110100	0b1000111011	0o264	0o1073
181	371	0b10110101	0b101110011	0o265	0o563
182	371	0b10110110	0b101110011	0o266	0o563
183	171	0b10110111	0b10101011	0o267	0o253
184	611	0b10111000	0b1001100011	0o270	0o1143
185	111	0b10111001	0b1101111	0o271	0o157
186	11	0b10111010	0b1011	0o272	0o13
187	211	0b10111011	0b11010011	0o273	0o323
188	111	0b10111100	0b1101111	0o274	0o157
189	311	0b10111101	0b100110111	0o275	0o467
190	211	0b10111110	0b11010011	0o276	0o323
191	311	0b10111111	0b100110111	0o277	0o467
192	530	0b11000000	0b1000010010	0o300	0o1022
193	630	0b11000001	0b1001110110	0o301	0o1166
194	30	0b11000010	0b11110	0o302	0o36
195	330	0b11000011	0b101001010	0o303	0o512
196	530	0b11000100	0b1000010010	0o304	0o1022
197	330	0b11000101	0b101001010	0o305	0o512
198	530	0b11000110	0b1000010010	0o306	0o1022
199	530	0b11000111	0b1000010010	0o307	0o1022
200	530	0b11001000	0b1000010010	0o310	0o1022
201	630	0b11001001	0b1001110110	0o311	0o1166
202	30	0b11001010	0b11110	0o312	0o36
203	330	0b11001011	0b101001010	0o313	0o512
204	130	0b11001100	0b10000010	0o314	0o202
205	330	0b11001101	0b101001010	0o315	0o512
206	430	0b11001110	0b110101110	0o316	0o656
207	730	0b11001111	0b1011011010	0o317	0o1332
208	510	0b11010000	0b111111110	0o320	0o776
209	710	0b11010001	0b1011000110	0o321	0o1306
210	10	0b11010010	0b1010	0o322	0o12
211	310	0b11010011	0b100110110	0o323	0o466
212	510	0b11010100	0b111111110	0o324	0o776
213	310	0b11010101	0b100110110	0o325	0o466
214	710	0b11010110	0b1011000110	0o326	0o1306
215	110	0b11010111	0b1101110	0o327	0o156
216	500	0b11011000	0b111110100	0o330	0o764
217	700	0b11011001	0b1010111100	0o331	0o1274
218	0	0b11011010	0b0	0o332	0o0
219	300	0b11011011	0b100101100	0o333	0o454
220	100	0b11011100	0b1100100	0o334	0o144
221	300	0b11011101	0b100101100	0o335	0o454
222	600	0b11011110	0b1001011000	0o336	0o1130
223	300	0b11011111	0b100101100	0o337	0o454
224	410	0b11100000	0b110011010	0o340	0o632
225	410	0b11100001	0b110011010	0o341	0o632
226	10	0b11100010	0b1010	0o342	0o12
227	310	0b11100011	0b100110110	0o343	0o466
228	510	0b11100100	0b111111110	0o344	0o776
229	310	0b11100101	0b100110110	0o345	0o466
230	110	0b11100110	0b1101110	0o346	0o156
231	510	0b11100111	0b111111110	0o347	0o776
232	430	0b11101000	0b110101110	0o350	0o656
233	430	0b11101001	0b110101110	0o351	0o656
234	30	0b11101010	0b11110	0o352	0o36
235	330	0b11101011	0b101001010	0o353	0o512
236	130	0b11101100	0b10000010	0o354	0o202
237	330	0b11101101	0b101001010	0o355	0o512
238	30	0b11101110	0b11110	0o356	0o36
239	730	0b11101111	0b1011011010	0o357	0o1332
240	460	0b11110000	0b111001100	0o360	0o714
241	560	0b11110001	0b1000110000	0o361	0o1060
242	60	0b11110010	0b111100	0o362	0o74
243	360	0b11110011	0b101101000	0o363	0o550
244	560	0b11110100	0b1000110000	0o364	0o1060
245	360	0b11110101	0b101101000	0o365	0o550
246	360	0b11110110	0b101101000	0o366	0o550
247	160	0b11110111	0b10100000	0o367	0o240
248	430	0b11111000	0b110101110	0o370	0o656
249	530	0b11111001	0b1000010010	0o371	0o1022
250	30	0b11111010	0b11110	0o372	0o36
251	330	0b11111011	0b101001010	0o373	0o512
252	130	0b11111100	0b10000010	0o374	0o202
253	330	0b11111101	0b101001010	0o375	0o512
254	230	0b11111110	0b11100110	0o376	0o346
